NIS,NISN,Nama,Tempat Lahir,Tanggal Lahir,JK,Agama,Alamat,Telepon Siswa,Diterima Tanggal,Nama Ayah,Nama Ibu,Pekerjaan Ayah,Pekerjaan Ibu,Penghasilan Ibu,Nama Wali,Pekerjaan Wali,NIK Siswa,pelengkap_siswa_id,peserta_didik_id,status_dalam_kel,anak_ke,sekolah_asal,diterima_kelas,alamat_ortu,telepon_ortu,alamat_wali,telepon_wali
63455499,5562412542,"Empluk Kusmawati, M.Ak",Tangerang Selatan,2011-03-06,L,Konghucu,"Jalan Sadang Serang No. 91, Tanjungbalai, KT 04849",+62 (007) 792-3971,2024-07-09,Sakti Utama,Raihan Wibisono,"Journalist, newspaper",Building surveyor,<1jt,Jamal Suryatmi,"Editor, magazine features",5059884138617457,616f3ebd-659c-46cd-9bf3-55df74838ca6,28f61aca-861b-4d70-a55f-8083d8839047,Anak Angkat,2,CV Sirait School,1,"Jl. Jayawijaya No. 561, Kota Administrasi Jakarta Selatan, PB 26954",+62-0841-461-5385,"Gang Ciumbuleuit No. 75, Bima, KT 22031",+62 (049) 508-4749
64782638,9657181453,"Irnanto Haryanto, M.TI.",Depok,2013-05-07,L,Konghucu,"Jalan Asia Afrika No. 4, Sabang, Jawa Timur 30854",+62 (17) 630 3469,2022-08-24,"Qori Hakim, S.Sos","Drs. Kasiran Uwais, S.E.I",Mental health nurse,Community education officer,3-5jt,Karman Palastri,Museum/gallery curator,8212135678975200,1d76a716-08ec-433b-af3e-785f7c006c14,9873eab4-0658-43f3-95ba-86405a302ff3,Anak Tiri,4,Perum Hutagalung School,5,"Gg. Surapati No. 25, Pontianak, Sumatera Barat 12364",+62-069-820-5600,"Gg. KH Amin Jasuta No. 365, Prabumulih, Bali 18316",+62 (0421) 833 2420
88025358,9760537914,Titin Hutapea,Malang,2009-04-25,L,Hindu,"Gang PHH. Mustofa No. 1, Semarang, MU 26808",+62 (029) 919-4521,2021-09-15,Ihsan Lazuardi,Eva Sitompul,Operational researcher,Writer,3-5jt,Mulyono Saptono,Clinical research associate,4284399581103509,d8ad5d50-5e88-434b-992b-7b9c5c2e192f,2fddf3d5-6719-4cd7-b46e-fa8cf51613ce,Anak Tiri,1,Perum Pangestu Mansur School,3,"Gg. Sentot Alibasa No. 73, Tangerang Selatan, Sumatera Selatan 09628",+62 (513) 734-7805,"Gg. KH Amin Jasuta No. 149, Pekanbaru, Kalimantan Barat 78065",+62 (0843) 051 7749
41785429,9768863850,"Restu Salahudin, S.Pt",Palangkaraya,2007-03-16,L,Katolik,"Jl. Cihampelas No. 87, Manado, Lampung 57918",+62-729-923-9341,2024-06-16,"Raihan Prakasa, S.E.",Victoria Mahendra,Dance movement psychotherapist,Theatre director,>5jt,Puti Rahmi Natsir,Pharmacologist,5930320958106073,8cfc1ec8-d700-40a5-8691-0079bce8b667,1561e23b-bb96-4339-9b01-e2fbdd1987c9,Anak Angkat,1,UD Purwanti Prayoga School,5,"Gg. Veteran No. 931, Ternate, RI 16495",081 221 1587,"Gg. PHH. Mustofa No. 8, Palopo, JK 99239",+62 (0261) 550 3534
60028873,6284080638,Gatot Widodo,Kota Administrasi Jakarta Selatan,2017-11-25,L,Hindu,"Gang Gegerkalong Hilir No. 942, Pasuruan, Papua 76475",+62 (0169) 715-4709,2023-10-10,Bella Rajasa,"Vicky Rajasa, S.Psi",Retail manager,Retail buyer,3-5jt,Julia Saptono,Financial manager,3279091724045567,366b04f2-381a-4c8d-a7ba-9bfc001df94f,0d73d8f7-5e7f-40e1-9334-4f797fc778c6,Anak Kandung,5,CV Manullang Tarihoran School,2,"Jl. Pasir Koja No. 151, Binjai, KB 14993",(0333) 316 1856,"Jalan H.J Maemunah No. 20, Meulaboh, KS 89511",+62 (04) 171-5878
25654874,2808371948,"Tgk. Yessi Usada, S.Farm",Parepare,2014-12-02,P,Konghucu,"Gg. Rajawali Timur No. 933, Blitar, Papua 20835",(065) 398 3676,2023-01-23,Hendra Fujiati,Halima Sitorus,Diagnostic radiographer,Media buyer,>5jt,Gina Mansur,"Scientist, biomedical",7331151000770021,59e22145-570e-4938-9a85-f894dde84517,407422a1-e9fe-4923-b35c-131ce9fd28b3,Anak Angkat,1,CV Prasetya Prabowo School,4,"Gg. Siliwangi No. 615, Balikpapan, KI 88492",+62-029-588-6522,"Jl. Sukajadi No. 391, Semarang, BE 15174",080 372 8872
69881195,2526591088,Vicky Pudjiastuti,Mojokerto,2017-11-26,P,Budha,"Jl. M.H Thamrin No. 19, Banda Aceh, Sumatera Selatan 41415",(0923) 810 4989,2020-07-20,Wahyu Lestari,"Sutan Kusuma Safitri, S.IP",Curator,"Librarian, public",<1jt,Dimaz Halimah,Government social research officer,1858858282066878,b7df02b1-0ed9-4404-9a94-400b44aac9c4,76d0fa48-bb91-4bcb-ad7c-94462beb3183,Anak Kandung,2,CV Winarsih (Persero) Tbk School,6,"Gang Veteran No. 44, Kediri, BA 55198",0817227888,"Jl. R.E Martadinata No. 0, Prabumulih, KB 67992",+62 (614) 709 6905
42981930,8715242323,"Dr. Putri Wulandari, S.Psi",Kota Administrasi Jakarta Utara,2009-01-31,L,Katolik,"Gang Ir. H. Djuanda No. 08, Cimahi, JI 37011",+62 (174) 415-5883,2023-08-08,"T. Cawisadi Latupono, M.TI.","R. Salimah Susanti, S.Sos","Scientist, research (physical sciences)",Arts development officer,1-3jt,Muhammad Yuliarti,Translator,9894504372677493,c9262dad-0b1f-4941-85d7-d437b000e4a3,2ac32b76-d0f9-432d-9730-9cd0c06ed5ae,Anak Kandung,4,PT Hutasoit Najmudin Tbk School,6,"Jl. Jakarta No. 49, Payakumbuh, SS 06010",+62 (027) 481-1212,"Gang M.H Thamrin No. 1, Bekasi, DI Yogyakarta 43635",(0622) 335-4725
54589342,4538606224,"dr. Violet Anggriawan, S.Pd",Cirebon,2008-02-01,P,Hindu,"Jl. Jend. Sudirman No. 43, Pekanbaru, Jambi 44344",+62-077-631-0382,2019-10-30,Laila Waskita,drg. Cemplunk Dongoran,Fisheries officer,Psychiatric nurse,3-5jt,drg. Indah Iswahyudi,Tax inspector,4115811136834937,d5cb2912-a88e-4042-bbb0-f6856e7d9b84,b22fa40a-243c-424d-a970-98cac8e3d61d,Anak Kandung,3,Perum Yuliarti School,3,"Gang Wonoayu No. 313, Tanjungbalai, SR 68757",+62 (39) 176 8729,"Jalan Rajawali Barat No. 24, Bontang, SG 25547",081 925 5588
62648356,1037843935,"Dagel Hutagalung, S.H.",Cimahi,2009-12-28,P,Islam,"Jl. Dr. Djunjunan No. 4, Manado, Sulawesi Selatan 70737",(0101) 993 6263,2021-01-31,Ganda Wahyuni,R.M. Hadi Mahendra,Film/video editor,Counselling psychologist,3-5jt,Siska Rajata,Environmental consultant,6084026231602830,c63275dc-45b9-42d4-b842-336306689885,f3b9c592-2a46-4849-bb69-b33cc39ae3eb,Anak Angkat,2,UD Damanik Tbk School,2,"Gang Soekarno Hatta No. 21, Bekasi, SB 11218",+62 (688) 871 0433,"Gg. Kapten Muslihat No. 90, Purwokerto, Kalimantan Utara 86088",+62 (096) 870 4538
